-999,-999,-999,78,27,8,1,2,29,32,73,49,53,43,43,32,56,7,12,6,6,26,10,3,4,4,5,4,3,3,3,6
-999,-999,-999,SW,W,WNW,W,WSW,WSW,SW,SW,WSW,WSW,WSW,WSW,WSW,SW,WSW,W,WNW,NW,NNW,NNW,NNW,NNW,NW,NW,NW,NW,WNW,W,WSW
-999,-999,-999,16,16,18,18,20,20,22,22,22,22,18,16,13,13,9,11,11,13,16,16,16,13,13,11,9,11,9,7,9
-999,-999,-999,1,-2,0,-1,-2,-3,-3,-3,-3,-2,-1,-2,-2,-2,-3,-3,-2,-1,-1,-2,-3,-3,-4,-4,-3,-1,0,-2,-3
-999,-999,-999,86,90,74,74,78,86,80,92,90,89,86,89,91,96,95,94,92,85,86,90,86,89,89,90,90,82,83,92,93
-999,-999,-999,4,9,9,7,9,9,9,11,11,11,9,9,7,7,4,7,7,7,9,9,9,9,7,7,7,7,4,4,4
-999,-999,-999,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
-999,-999,-999,3,2,3,2,1,1,1,1,1,2,2,2,1,0,-1,0,0,2,2,1,0,0,0,-1,-1,2,2,0,-1
-999,-999,-999,10,7,3,0,0,22,22,27,18,18,17,22,16,27,7,7,7,7,18,8,2,0,2,2,1,3,3,2,7
-999,-999,-999,MO,GO,GO,GO,VG,GO,GO,GO,MO,PO,MO,GO,GO,MO,GO,GO,GO,GO,GO,GO,GO,GO,GO,GO,GO,VG,GO,GO,GO
-999,-999,-999,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260
