-999,-999,-999,21,1,2,9,12,34,31,30,7,1,8,1,1,1,1,3,6,2,3,0,21,0,1,2,6,6,8,15,66
-999,-999,-999,W,W,W,WSW,WSW,WSW,W,W,W,W,W,WSW,W,WNW,WNW,NW,NNW,NNW,N,NNW,NNW,NW,NW,NW,W,WSW,SW,S,S
-999,-999,-999,20,29,22,25,31,31,29,31,31,27,22,18,20,18,18,20,18,27,27,22,20,13,11,9,9,11,13,18,22
-999,-999,-999,-4,-3,-2,-3,-3,-3,-4,-4,-4,-2,-1,-3,-4,-5,-5,-4,-3,0,0,-2,-3,-4,-4,-4,-3,1,1,0,0
-999,-999,-999,94,83,81,87,84,88,88,90,87,83,79,87,91,94,95,91,85,76,73,86,87,90,93,94,92,82,85,88,93
-999,-999,-999,11,13,11,11,16,16,13,16,16,13,11,9,9,9,9,11,9,13,13,11,11,9,7,7,4,4,7,9,11
-999,-999,-999,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
-999,-999,-999,1,2,2,1,2,2,1,1,1,3,3,1,1,0,-1,0,1,4,5,2,1,0,-1,-1,-1,3,3,3,2
-999,-999,-999,7,1,3,7,7,16,18,16,3,3,3,2,2,2,2,2,7,1,1,0,22,0,0,0,7,7,7,8,15
-999,-999,-999,EX,VG,VG,GO,VG,VG,VG,MO,VG,VG,VG,VG,GO,GO,GO,GO,GO,VG,VG,GO,GO,GO,GO,GO,GO,VG,GO,GO,MO
-999,-999,-999,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260,0,180,360,540,720,900,1080,1260
